gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,3110,256,2048,ck,18,0,11.2543,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,289.76,754.01,0.0
gfx950,256,3137,256,2048,ck,18,0,11.4852,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,286.4,744.87,0.0
gfx950,256,3613,256,2048,ck,18,0,12.0271,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,315.0,812.63,0.0
gfx950,256,4096,256,2048,ck,18,0,10.0619,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,426.85,1094.23,0.0
gfx950,256,4097,256,2048,ck,3,0,15.4714,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,277.67,711.8,0.0
gfx950,256,4109,256,2048,ck,2,0,15.5101,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,277.79,712.01,0.0
gfx950,256,4143,256,2048,ck,3,0,15.3615,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,282.8,724.56,0.0
gfx950,256,4345,256,2048,ck,2,0,15.6519,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,291.09,744.16,0.0
gfx950,256,4413,256,2048,ck,2,0,15.605,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,296.53,757.55,0.0
gfx950,256,5121,256,2048,ck,2,0,15.5437,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,345.46,877.14,0.0
gfx950,256,5123,256,2048,ck,2,0,15.4309,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,348.12,883.89,0.0
gfx950,256,5133,256,2048,ck,2,0,15.3972,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,349.57,887.48,0.0
gfx950,256,5185,256,2048,ck,2,0,15.3801,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,353.5,897.13,0.0
gfx950,256,5191,256,2048,ck,2,0,15.4557,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,352.18,893.73,0.0
gfx950,256,6146,256,2048,ck,2,0,15.8883,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,405.62,1023.27,0.0
gfx950,256,6147,256,2048,ck,2,0,15.5581,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,414.29,1045.15,0.0
gfx950,256,6155,256,2048,ck,2,0,15.5431,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,415.23,1047.48,0.0
gfx950,256,6377,256,2048,ck,2,0,15.5382,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,430.34,1084.39,0.0
gfx950,256,6401,256,2048,ck,2,0,15.6271,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,429.51,1082.15,0.0
gfx950,256,7121,256,2048,ck,2,0,15.7944,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,472.76,1187.39,0.0
